25 600
16 5 4013
16 6 163
16 7 2840
16 8 4952
16 9 816
16 10 3907
16 11 1414
16 12 3071
16 13 3577
16 14 257
16 15 1412
16 17 2391
16 18 209
16 19 2018
16 20 4037
16 21 4027
16 22 799
16 23 342
16 24 4700
17 0 2670
17 1 464
17 2 3699
17 3 3425
17 4 3062
17 5 3097
17 6 4119
17 7 3516
17 8 417
17 9 17
17 10 3138
17 11 2430
17 12 1626
17 13 3835
17 14 2670
17 15 3381
17 16 2391
17 18 4425
17 19 4650
17 20 2536
17 21 510
17 22 230
17 23 3163
17 24 2428
18 0 3214
18 1 584
18 2 1893
18 3 4875
18 4 273
18 5 1990
18 6 2724
18 7 3563
18 8 174
18 9 1731
18 10 4969
18 11 3508
18 12 3899
18 13 2690
18 14 4292
18 15 1978
18 16 209
18 17 4425
18 19 1934
18 20 4791
18 21 742
18 22 1960
18 23 3810
18 24 1792
19 0 1855
19 1 2647
19 2 3455
19 3 571
19 4 3814
19 5 4030
19 6 2743
19 7 2763
19 8 1744
19 9 2540
19 10 1076
19 11 2458
19 12 3423
19 13 3611
19 14 4395
19 15 4524
19 16 2018
19 17 4650
19 18 1934
19 20 4861
19 21 850
19 22 3022
19 23 757
19 24 997
20 0 79
20 1 3498
20 2 1362
20 3 613
20 4 2154
20 5 4380
20 6 3114
20 7 445
20 8 2614
20 9 3121
20 10 388
20 11 3151
20 12 393
20 13 3166
20 14 2837
20 15 484
20 16 4037
20 17 2536
20 18 4791
20 19 4861
20 21 669
20 22 3184
20 23 567
20 24 2083
21 0 4535
21 1 3158
21 2 2417
21 3 1593
21 4 3350
21 5 2805
21 6 840
21 7 4199
21 8 2146
21 9 4822
21 10 3403
21 11 4930
21 12 4023
21 13 2236
21 14 1709
21 15 736
21 16 4027
21 17 510
21 18 742
21 19 850
21 20 669
21 22 988
21 23 401
21 24 2878
22 0 1141
22 1 1563
22 2 2127
22 3 1574
22 4 4632
22 5 4605
22 6 1386
22 7 3293
22 8 1592
22 9 1232
22 10 1795
22 11 4066
22 12 2792
22 13 3112
22 14 4768
22 15 997
22 16 799
22 17 230
22 18 1960
22 19 3022
22 20 3184
22 21 988
22 23 1116
22 24 4759
23 0 441
23 1 2769
23 2 4909
23 3 3118
23 4 4404
23 5 4636
23 6 4399
23 7 775
23 8 3135
23 9 1433
23 10 1728
23 11 3385
23 12 4025
23 13 3662
23 14 1579
23 15 3470
23 16 342
23 17 3163
23 18 3810
23 19 757
23 20 567
23 21 401
23 22 1116
23 24 878
24 0 2191
24 1 1731
24 2 2774
24 3 1008
24 4 1474
24 5 2834
24 6 4339
24 7 3023
24 8 2514
24 9 519
24 10 2515
24 11 1936
24 12 4705
24 13 1254
24 14 3583
24 15 925
24 16 4700
24 17 2428
24 18 1792
24 19 997
24 20 2083
24 21 2878
24 22 4759
24 23 878
15
